,Source Article,Authors,Referenced Article,Venue,Year
25,barabas18a,"Anthony W Flores, Kristin Bechtel, and Christopher T Lowenkamp","False positives, false negatives, and false analyses: A rejoinder to “machine bias: There’s software used across the country to predict future criminals","and it’s biased against blacks.”. Federal Probation Journal, pages 38–46, September 2016. URL http://www.uscourts.gov/statisticsreports/publications/federalprobation-journal/federal-probationjournal-september-2016",2016
26,barabas18a,Arnold Foundation,Results from the first six months of the public safety assessmentcourt in kentucky,"Report, 2016",2016
27,barabas18a,Andrew Gelman,Data analysis using regression and multilevel/hierarchical models,"Cambridge University Press, Cambridge New York, 2007. ISBN 978-0521686891",2007
28,barabas18a,Abe Gong,"Ethics for powerful algorithms (2 of 4), July 2016",URL https://medium.com/@AbeGong/ethicsfor-powerful-algorithms-2-of-35bf750ce4c54,2016
29,barabas18a,D James Greiner,Causal inference in civil rights litigation,"Harvard Law Review, 122(2):533– 598, 2008",2008
30,barabas18a,D James Greiner and Andrea Matthews,Randomized control trials in the united states legal profession,"Annual Review of Law and Social Science, 12:295–312, 2016",2016
31,barabas18a,"Arpit Gupta, Christopher Hansman, and Ethan Frenchman",The heavy costs of high bail: Evidence from judge randomization,"The Journal of Legal Studies, 45(2):471–505, 2016",2016
32,barabas18a,Melissa Hamilton,Back to the future: The influence of criminal history on risk assessment,"Berkeley Journal of Criminal Law, 2015. Forthcoming; SSRN ID: 2555878",2015
33,barabas18a,Kelly Hannah-Moffat,Criminogenic needs and the transformative risk subject: Hybridizations of risk/need in penality,"Punishment & Society, 7(1):29–51, 2005",2005
34,barabas18a,Kelly Hannah-Moffat,"Sacrosanct or flawed: Risk, accountability and gender-responsive penal politics","Current Issues in Criminal Justice, 22:193–215, March 2011",2011
35,barabas18a,Kelly Hannah-Moffat,Actuarial sentencing: An “unsettled” proposition,"Justice Quarterly, 30 (2):270–296, 2013. doi: 10.1080/07418825. 2012.682603",2013
36,barabas18a,Kelly Hannah-Moffat,"The uncertainties of risk assessment: Partiality, transparency, and just decisions","Federal Sentencing Reporter, 27(4): 244–247, April 2015. doi: 10.1525/fsr.2015.27. 4.244",2015
37,barabas18a,Bernard E Harcourt,Risk as a proxy for race,2010,2010
38,barabas18a,Bernard E,Harcourt,"Risk as a proxy for race: The dangers of risk assessment. Federal Sentencing Reporter, 27(4):237–243, April 2015. doi: 10.1525/fsr.2015.27.4.237",2015
39,barabas18a,Mark Hardy,Practitioner perspectives on risk: Using governmentality to understand contemporary probation practice,"European Journal of Criminology, 11(3):303–318, 2014. doi: 10.1177/1477370813495758",2014
40,barabas18a,"Paul Heaton, Sandra Mayson, and Megan Stevenson",The downstream consequences of misdemeanor pretrial detention,"Stan. L. Rev., 69:711, 2017",2017
41,barabas18a,Guido Imbens,"Causal inference for statistics, social, and biomedical sciences : an introduction","Cambridge University Press, New York, 2015. ISBN 978-0521885881",2015
42,barabas18a,Pretrial Justice Institute,Pretrial risk assessments can produce race-neutral results,"Report, 2017",2017
43,barabas18a,Gareth James,An introduction to statistical learning : with applications in R,"Springer, New York, NY, 2013. ISBN 978-1461471370",2013
44,barabas18a,Rob Kitchin,"Big data, new epistemologies and paradigm shifts","Big Data & Society, 1 (1):2053951714528481, 2014. doi: 10.1177/ 2053951714528481",2014
45,barabas18a,"Jon Kleinberg, Jens Ludwig, Sendhil Mullainathan, and Ziad Obermeyer",Prediction policy problems,"American Economic Review, 105(5):491–95, May 2015. doi: 10.1257/aer. p20151023",2015
46,barabas18a,"Jon Kleinberg, Himabindu Lakkaraju, Jure Leskovec, Jens Ludwig, and Sendhil Mullainathan",Human decisions and machine predictions,"Working Paper 23180, National Bureau of Economic Research, February 2017a",2017
47,barabas18a,"Jon Kleinberg, Sendhil Mullainathan, and Manish Raghavan",Inherent trade-offs in the fair determination of risk scores,"In Proceedings of the 8th Innovations in Theoretical Computer Science Conference, ITCS ’17, 2017b",2017
48,barabas18a,Emily Leslie and Nolan G Pope,The unintended impact of pretrial detention on case outcomes: Evidence from nyc arraignments,2016,2016
49,barabas18a,Cynthia Lum and Sue-Ming Yang,"Why do evaluation researchers in crime and justice choose non-experimental methods? Journal of Experimental Criminology, 1(2):191–213, 2005",,2005
50,barabas18a,Paula Maurutto and Kelly Hannah-Moffat,Assembling risk and the restructuring of penal control,"The British Journal of Criminology, 46(3):438–454, 2006. doi: 10.1093/bjc/azi073",2006
51,barabas18a,"Ojmarrh Mitchell, Joshua C Cochran, Daniel P Mears, and William D Bales",Examining prison effects on recidivism: A regression discontinuity approach,"Justice Quarterly, 34(4): 571–596, 2017",2017
52,barabas18a,John Monahan and Jennifer L Skeem,Risk assessment in criminal sentencing,"Annual Review of Clinical Psychology, 12(1):489–513, 2016. doi: 10.1146/annurev-clinpsy-021815092945",2016
53,barabas18a,Elizabeth Levy Paluck,The promising integration of qualitative methods and field experiments,"The Annals of the American Academy of Political and Social Science, 628:59–71, 2010",2010
54,barabas18a,Seth J Prins and Adam Reich,"Can we avoid reductionism in risk reduction? Theoretical Criminology, page 1362480617707948, 2017","Michael D. Reisig, Kristy Holtfreter, and Merry Morash. Assessing recidivism risk across female pathways to crime. Justice Quarterly, 23(3):384–405, 2006. doi: 10.1080/ 07418820600869152",2017
55,barabas18a,"Roggensack, C J  and Abrahamson, J","State of wisconsin V Eric L Loomis, July 2016",URL https://www.wicourts.gov/sc/opinion/ DisplayDocument.pdf?content=pdf&seqNo= 171690,2016
56,barabas18a,Donald B Rubin,Matched sampling for causal effects,"Cambridge University Press, 2006",2006
57,barabas18a,Traci Schlesinger,The failure of race neutral policies: How mandatory terms and sentencing enhancements contribute to mass racialized incarceration,"Crime & Delinquency, 57(1):56– 81, 2011. doi: 10.1177/0011128708323629",2011
58,barabas18a,Andrew D Selbst,Disparate impact in big data policing,"Georgia Law Review, 2016. Forthcoming; SSRN ID: 2819182",2016
59,barabas18a,Lawrence Sherman,Evidence-based crime prevention,"Routledge, London New York, 2006. ISBN 978-0415401029",2006
60,barabas18a,Sally S Simpson,"Feminist theory, crime, and justice","Criminology, 27(4):605–632, 1989. ISSN 1745-9125. doi: 10.1111/j.1745-9125. 1989.tb01048.x",1989
61,barabas18a,Bill Siwicki,"Machine learning 101: The healthcare opportunities are endless, 2017",URL http://www.healthcareitnews.com/ news/machine-learning-101-healthcareopportunities-are-endless,2017
62,barabas18a,"Jennifer L Skeem, John Monahan, and Christopher T Lowenkamp","Gender, risk assessment, and sanctioning: The cost of treating women like men","Working Paper 10, Virginia Public Law and Legal Theory Research Paper Series, 2016",2016
63,barabas18a,Sonja B Starr,Evidence-based sentencing and the scientific rationalization of discrimination,"Stanford Law Review, 66, 2014",2014
64,barabas18a,Megan Stevenson,Distortion of justice: How the inability to pay bail affects case outcomes,2016,2016
65,barabas18a,Jason Tashea,Courts are using ai to sentence criminals,"that must stop now, 2017. URL https://www.wired.com/2017/04/courtsusing-ai-sentence-criminals-muststop-now/",2017
66,barabas18a,Nicole Gonzalez Van Cleve and Lauren Mayes,Criminal justice through “colorblind” lenses: A call to examine the mutual constitution of race and criminal justice,"Law & Social Inquiry, 40(2). ISSN 1747-4469",1747
67,barabas18a,"Alfredo Vellido, José Mart́ın-Guerrero, and Paulo J G  Lisboa",Making machine learning models interpretable,"12:163–172, 01 2012",2012
68,barabas18a,Tammy Wang,"How machine learning will shape the future of hiring, 2017",URL https://www.linkedin.com/pulse/howmachine-learning-shape-future-hiringtammy-wang,2017
69,barabas18a,David Weisburd,Randomized experiments in criminal justice policy: Prospects and problems,"NCCD news, 46(2):181–193, 2000",2000
70,barabas18a,Rebecca Wexler,"Code of sielnce: How private companies hide flaws in the software that governments use to decide who goes to prison and who gets out, 2017",URL http://washingtonmonthly.com/magazine/ junejulyaugust-2017/code-of-silence/,2017
71,barabas18a,"Jiaming Zeng, Berk Ustun, and Cynthia Rudin",Interpretable classification models for recidivism prediction,"Journal of the Royal Statistical Society: Series A (Statistics in Society), 180(3):689–722, 2017. ISSN 1467-985X. doi: 10.1111/rssa.12227",2017
72,barabas18a,Franklin E Zimring,The Great American Crime Decline,"Oxford University Press, 2006. doi: 10.1093/acprof:oso/9780195181159.001.0001",2006
0,ensign18a,Richard A Berk and Justin Bleich,Statistical procedures for forecasting criminal behavior,"Criminology & Public Policy, 12(3):513– 544, 2013. ISSN 1745-9133. doi: 10.1111/ 1745-9133.12047. URL http://dx.doi.org/ 10.1111/1745-9133.12047",2013
1,ensign18a,Carl Bialik,"How to make sense of conflicting, confusing and misleading crime statistics","https://fivethirtyeight.com/features/ how-to-make-sense-of-conflictingconfusing-and-misleading-crimestatistics/, 2016. Visited 10/7/2017",2016
2,ensign18a,Ido Erev and Alvin E Roth,"Predicting how people play games: Reinforcement learning in experimental games with unique, mixed strategy equilibria","American economic review, pages 848–881, 1998",1998
3,ensign18a,Daniel G Horvitz and Donovan J Thompson,A generalization of sampling without replacement from a finite universe,"Journal of the American statistical Association, 47(260):663– 685, 1952",1952
4,ensign18a,Kristian Lum and William Isaac,"To predict and serve? Significance, pages 14 – 18, October 2016",,2016
5,ensign18a,Hosam M Mahmoud and Basile Morcrette,Exactly solvable balanced tenable urns with random entries via the analytic methodology,"Discrete Mathematics & Theoretical Computer Science, 2012",2012
6,ensign18a,"George O Mohler, Martin B Short, Sean Malinowski, Mark Johnson, George E Tita, Andrea L Bertozzi, and P Jeffrey Brantingham",Randomized controlled field trials of predictive policing,"Journal of the American Statistical Association, 110(512):1399 – 1411, 2015. Inc. NorthPointe. Compas. http: //www.northpointeinc.com/files/ downloads/FAQ Document.pdf, 2012",1411
7,ensign18a,Robin Pemantle,A survey of random processes with reinforcement,"Probab. Surveys, 4:1–79, 2007. doi: 10.1214/07-PS094. URL http:// dx.doi.org/10.1214/07-PS094",2007
8,ensign18a,Walt L Perry,Predictive policing: The role of crime forecasting in law enforcement operations,"Rand Corporation, 2013",2013
9,ensign18a,Henrik Renlund,Generalized pólya urns via stochastic approximation,"arXiv preprint arXiv:1002.3716, 2010",2010
10,ensign18a,US DoJ via ICPSR,"National crime victimization survey, 2014","United States Department of Justice. Office of Justice Programs. Bureau of Justice Statistics. [Distributor]: Interuniversity Consortium for Political and Social Research (ICPSR), Aug. 27, 2015. URL http://doi.org/10.3886/ICPSR36142.v1",2014
11,ensign18a,US HHS via ICPSR,"National survey on drug use and health, 2011",United States Department of Health and Human Services,2011
12,ensign18a,Substance Abuse and Mental Health Services Administration,Center for Behavioral Health Statistics and Quality,"[Distributor]: Interuniversity Consortium for Political and Social Research (ICPSR), 2015. URL http: //doi.org/10.3886/ICPSR34481.v4",2015
0,binns18a,Elizabeth S Anderson,"What is the point of equality? Ethics, 109(2):287–337, 1999","Julia Angwin, Jeff Larson, Surya Mattu, and Lauren Kirchner. Machine bias. Pro Publica, 2016",1999
1,binns18a,Richard J Arneson,Equality and equal opportunity for welfare,"Philosophical studies, 56(1): 77–93, 1989",1989
2,binns18a,Solon Barocas and Andrew D Selbst,Big data’s disparate impact,"Cal. L. Rev., 104:671, 2016",2016
3,binns18a,"Reuben Binns, Michael Veale, Max Van Kleek, and Nigel Shadbolt","Like trainer, like bot? inheritance of bias in algorithmic content moderation","In International Conference on Social Informatics, pages 405–415. Springer, 2017",2017
4,binns18a,"Tolga Bolukbasi, Kai-Wei Chang, James Y Zou, Venkatesh Saligrama, and Adam T Kalai",Man is to computer programmer as woman is to homemaker? debiasing word embeddings,"In Advances in Neural Information Processing Systems, pages 4349–4357, 2016",2016
5,binns18a,"Aylin Caliskan-Islam, Joanna J Bryson, and Arvind Narayanan",Semantics derived automatically from language corpora necessarily contain human biases,"arXiv preprint arXiv:1608.07187, 2016",2016
6,binns18a,Gerald A Cohen,On the currency of egalitarian justice,"Ethics, 99(4):906–944, 1989",1989
7,binns18a,"William Dieterich, Christina Mendoza, and Tim Brennan",Compas risk scales: Demonstrating accuracy equity and predictive parity,"Northpoint Inc, 2016",2016
8,binns18a,"Cynthia Dwork, Moritz Hardt, Toniann Pitassi, Omer Reingold, and Richard Zemel",Fairness through awareness,"In Proceedings of the 3rd Innovations in Theoretical Computer Science Conference, pages 214–226. ACM, 2012. Ronald Dworkin. What is equality? part 1: Equality of welfare. Philosophy & public affairs, pages 185–246, 1981",2012
9,binns18a,Benjamin Eidelson,Discrimination and Disrespect,"Oxford University Press, 2015",2015
10,binns18a,Hanming Fang and Andrea Moro,Theories of statistical discrimination and affirmative action: A survey,"Technical report, National Bureau of Economic Research, 2010",2010
11,binns18a,Nancy Fraser and Axel Honneth,Redistribution or recognition?: a political-philosophical exchange,"Verso, 2003",2003
12,binns18a,Margaret Gilbert,Collective epistemology,"Episteme, 1(2):95–107, 2004",2004
13,binns18a,Sara Hajian and Josep Domingo-Ferrer,A methodology for direct and indirect discrimination prevention in data mining,"IEEE transactions on knowledge and data engineering, 25 (7):1445–1459, 2013",2013
14,binns18a,"Moritz Hardt, Eric Price, Nati Srebro, et al",Equality of opportunity in supervised learning,"In Advances in Neural Information Processing Systems, pages 3315–3323, 2016",2016
15,binns18a,Elisa Holmes,Anti-discrimination rights without equality,"The Modern Law Review, 68(2):175– 194, 2005",2005
16,binns18a,Bell Hooks,"Yearning: Race, gender, and cultural politics",1992,1992
17,binns18a,Robert Huseby,"Can luck egalitarianism justify the fact that some are worse off than others? Journal of Applied Philosophy, 33(3):259–269, 2016",,2016
18,binns18a,"Matthew Joseph, Michael Kearns, Jamie Morgenstern, Seth Neel, and Aaron Roth",Rawlsian fairness for machine learning,"arXiv preprint arXiv:1610.09559, 2016",2016
19,binns18a,"Faisal Kamiran, Toon Calders, and Mykola Pechenizkiy",Techniques for discrimination-free predictive models,"In Discrimination and Privacy in the Information Society, pages 223– 239. Springer, 2013",2013
20,binns18a,"Jon Kleinberg, Sendhil Mullainathan, and Manish Raghavan",Inherent trade-offs in the fair determination of risk scores,"arXiv preprint arXiv:1609.05807, 2016",2016
21,binns18a,"Matt J Kusner, Joshua R Loftus, Chris Russell, and Ricardo Silva",Counterfactual fairness,"arXiv preprint arXiv:1703.06856, 2017",2017
22,binns18a,Annabelle Lever,Racial profiling and the political philosophy of race,"The Oxford Handbook of Philosophy and Race, page 425, 2016",2016
23,binns18a,Kasper Lippert-Rasmussen,Born free and equal?: a philosophical inquiry into the nature of discrimination,"Oxford University Press, 2014",2014
24,binns18a,Derek Parfit,Equality and priority,"Ratio, 10(3): 202–221, 1997",1997
25,binns18a,Philip Pettit,Responsibility incorporated,"Ethics, 117(2):171–201, 2007",2007
26,binns18a,Edmund S Phelps,The statistical theory of racism and sexism,"The american economic review, 62(4):659–661, 1972",1972
27,binns18a,John Rawls,A theory of justice,"Harvard university press, 2009",2009
28,binns18a,Thomas M Scanlon,Moral dimensions,"Harvard University Press, 2009",2009
29,binns18a,Frederick F Schauer,"Profiles, probabilities, and stereotypes","Harvard University Press, 2009",2009
30,binns18a,Shlomi Segall,"What’s so bad about discrimination? Utilitas, 24(1):82–100, 2012",,2012
31,binns18a,Amartya Sen,Inequality reexamined,"Clarendon Press, 1992",1992
32,binns18a,Charles Taylor,Multiculturalism,"Princeton University Press, 1994",1994
33,binns18a,Larry S Temkin,Inequality,"Philosophy & Public Affairs, pages 99–121, 1986",1986
34,binns18a,Jens Damgaard Thaysen and Andreas Albertsen,When bad things happen to good people: luck egalitarianism and costly rescues,"Politics, Philosophy & Economics, 16(1):93–112, 2017",2017
35,binns18a,Michael Veale and Reuben Binns,Fairer machine learning in the real world: Mitigating discrimination without collecting sensitive data,"Big Data & Society, 4(2):2053951717743530, 2017",2017
36,binns18a,Michael Walzer,Spheres of justice: A defense of pluralism and equality,"Basic books, 2008",2008
37,binns18a,"Muhammad Bilal Zafar, Isabel Valera, Manuel Gomez Rodriguez, and Krishna P Gummadi",Fairness beyond disparate treatment & disparate impact: Learning classification without disparate mistreatment,"In Proceedings of the 26th International Conference on World Wide Web, pages 1171–1180. International World Wide Web Conferences Steering Committee, 2017",2017
38,binns18a,"Meike Zehlike, Francesco Bonchi, Carlos Castillo, Sara Hajian, Mohamed Megahed, and Ricardo Baeza-Yates",Fa* ir: A fair top-k ranking algorithm,"arXiv preprint arXiv:1706.06368, 2017",2017
0,buolamwini18a,Face++ API,http://old,faceplusplus.com/ demo-detect/. Accessed: 2017-10-06,2017
1,buolamwini18a,"Face, Google APIs for Android, Google Developers",https://developers,google.com/ android/reference/com/google/android/ gms/vision/face/Face. Accessed: 2017-1006,2017
2,buolamwini18a,Watson Visual Recognition,https : //www,ibm.com/watson/services/visualrecognition/. Accessed: 2017-10-06,2017
3,buolamwini18a,Microsoft Face API,https : / / www,microsoft.com / cognitive - services / en-us/faceapi. Accessed: 2017-10-06. Affectiva Emotion Recognition Software and Analysis. https://www.affectiva.com/. Accessed: 2017-10-06,2017
4,buolamwini18a,Physiognomys New Clothes,https : / / medium,com/@blaisea/physiognomys- newclothes-f2d4b59fdd6a. Accessed: 2017-1006,2017
5,buolamwini18a,Face++ Terms of Use,a,Accessed: 2018-12-13,2018
6,buolamwini18a,"Faception, Facial Personality Analytics",https: //www,"faception.com/, b. Accessed: 2017-1006",2017
7,buolamwini18a,Visual Recognition API Reference,Accessed: 2018-12-13,,2018
8,buolamwini18a,How to Detect Faces in Image,Accessed: 201812-13,,
9,buolamwini18a,Proportion of seats held by women in national parliaments,https://data,worldbank.org/ indicator/SG.GEN.PARL.ZS?year high desc= true. Accessed: 2017-10-06,2017
10,buolamwini18a,"Syafeeza Ahmad Radzi, Khalil-Hani Mohamad, Shan Sung Liew, and Rabia Bakhteri",Convolutional neural network for face recognition with pose and illumination variation,"International Journal of Engineering and Technology (IJET), 6(1):44–57, 2014",2014
11,buolamwini18a,"Julia Angwin, Jeff Larson, Surya Mattu, and Lauren Kirchner",Machine bias: Theres software used across the country to predict future criminals,"and its biased against blacks. ProPublica, May, 23, 2016",2016
12,buolamwini18a,Yancheng Bai and Bernard Ghanem,Multi-scale fully convolutional network for face detection in the wild,"In Computer Vision and Pattern Recognition Workshops (CVPRW), 2017 IEEE Conference on, pages 2078–2087. IEEE, 2017",2017
13,buolamwini18a,"Tolga Bolukbasi, Kai-Wei Chang, James Y Zou, Venkatesh Saligrama, and Adam T Kalai",Man is to computer programmer as woman is to homemaker? debiasing word embeddings,"In D. D. Lee, M. Sugiyama, U. V. Luxburg, I. Guyon, and R. Garnett, editors, Advances in Neural Information Processing Systems 29, pages 4349–4357. Curran Associates, Inc., 2016. URL http://papers.nips.cc/paper/ 6228- man- is- to- computer- programmeras- woman- is- to- homemaker- debiasingword-embeddings.pdf",2016
14,buolamwini18a,Encyclopedia Britannica,Skin distribution map,"https://media1.britannica.com/eb-media/ 59/61759- 004- 9A507F1C.gif, 2012. Accessed: 2017-12-17",2012
15,buolamwini18a,"Aylin Caliskan, Joanna J Bryson, and Arvind Narayanan",Semantics derived automatically from language corpora contain human-like biases,"Science, 356(6334):183–186, 2017",2017
16,buolamwini18a,Danielle Keats Citron and Frank A Pasquale,The scored society: due process for automated predictions,2014,2014
17,buolamwini18a,"Afshin Dehghan, Enrique G Ortiz, Guang Shu, and Syed Zain Masood","Dager: Deep age, gender and emotion recognition using convolutional neural network","arXiv preprint arXiv:1702.04280, 2017",2017
18,buolamwini18a,"Andre Esteva, Brett Kuprel, Roberto A Novoa, Justin Ko, Susan M Swetter, Helen M Blau, and Sebastian Thrun",Dermatologist-level classification of skin cancer with deep neural networks,"Nature, 542(7639):115–118, 2017",2017
19,buolamwini18a,"C Fabian Benitez-Quiroz, Ramprakash Srinivasan, and Aleix M Martinez","Emotionet: An accurate, real-time algorithm for the automatic annotation of a million facial expressions in the wild","In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition, pages 5562–5570, 2016",2016
20,buolamwini18a,Giovanna Farinella and Jean-Luc Dugelay,"Demographic classification: Do gender and ethnicity affect each other? In Informatics, Electronics & Vision (ICIEV), 2012 International Conference on, pages 383–390","IEEE, 2012",2012
21,buolamwini18a,"Sorelle A Friedler, Carlos Scheidegger, and Suresh Venkatasubramanian",On the (im) possibility of fairness,"arXiv preprint arXiv:1609.07236, 2016",2016
22,buolamwini18a,"Suranjan Ganguly, Debotosh Bhattacharjee, and Mita Nasipuri","Illumination, pose and occlusion invariant face recognition from range images using erfi model","International Journal of System Dynamics Applications (IJSDA), 4(2): 1–20, 2015",2015
23,buolamwini18a,"Clare Garvie, Alvaro Bedoya, and Jonathan Frankle",The Perpetual Line-Up: Unregulated Police Face Recognition in America,"Georgetown Law, Center on Privacy & Technology, 2016",2016
24,buolamwini18a,Hu Han and Anil K Jain,"Age, gender and race estimation from unconstrained face images","Dept. Comput. Sci. Eng., Michigan State Univ., East Lansing, MI, USA, MSU Tech. Rep.(MSU-CSE-14-5), 2014",2014
25,buolamwini18a,"Moritz Hardt, Eric Price, Nati Srebro, et al",Equality of opportunity in supervised learning,"In Advances in Neural Information Processing Systems, pages 3315–3323, 2016a",2016
26,buolamwini18a,"Moritz Hardt, Eric Price, Nati Srebro, et al",Equality of opportunity in supervised learning,"In Advances in Neural Information Processing Systems, pages 3315–3323, 2016b",2016
27,buolamwini18a,"Gary B Huang, Manu Ramesh, Tamara Berg, and Erik Learned-Miller",Labeled faces in the wild: A database for studying face recognition in unconstrained environments,"Technical report, Technical Report 07-49, University of Massachusetts, Amherst, 2007",2007
28,buolamwini18a,"Ioannis A Kakadiaris, George Toderici, Georgios Evangelopoulos, Georgios Passalis, Dat Chu, Xi Zhao, Shishir K Shah, and Theoharis Theoharis",3d-2d face recognition with pose and illumination normalization,"Computer Vision and Image Understanding, 154:137–151, 2017",2017
29,buolamwini18a,"Ira Kemelmacher-Shlizerman, Steven M Seitz, Daniel Miller, and Evan Brossard",The megaface benchmark: 1 million faces for recognition at scale,"In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition, pages 4873–4882, 2016",2016
30,buolamwini18a,"Niki Kilbertus, Mateo Rojas-Carulla, Giambattista Parascandolo, Moritz Hardt, Dominik Janzing, and Bernhard Schölkopf",Avoiding discrimination through causal reasoning,"arXiv preprint arXiv:1706.02744, 2017",2017
31,buolamwini18a,"Brendan F Klare, Mark J Burge, Joshua C Klontz, Richard W Vorder Bruegge, and Anil K Jain",Face recognition performance: Role of demographic information,"IEEE Transactions on Information Forensics and Security, 7(6):1789–1801, 2012",2012
32,buolamwini18a,"Brendan F Klare, Ben Klein, Emma Taborsky, Austin Blanton, Jordan Cheney, Kristen Allen, Patrick Grother, Alan Mah, and Anil K Jain",Pushing the frontiers of unconstrained face detection and recognition: Iarpa janus benchmark a,"In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition, pages 1931–1939, 2015",2015
33,buolamwini18a,Michal Kosinski and Yilun Wang,Deep neural networks are more accurate than humans at detecting sexual orientation from facial images,2017,2017
34,buolamwini18a,"Marco Leo, Marco Del Coco, Pierluigi Carcagni, Cosimo Distante, Massimo Bernava, Giovanni Pioggia, and Giuseppe Palestra",Automatic emotion recognition in robot-children interaction for asd treatment,"In Proceedings of the IEEE International Conference on Computer Vision Workshops, pages 145–153, 2015",2015
35,buolamwini18a,Gil Levi and Tal Hassner,Age and gender classification using convolutional neural networks,"In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition Workshops, pages 34–42, 2015a",2015
36,buolamwini18a,Gil Levi and Tal Hassner,Age and gender classification using convolutional neural networks,"In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition Workshops, pages 34–42, 2015b",2015
37,buolamwini18a,"Markus Mathias, Rodrigo Benenson, Marco Pedersoli, and Luc Van Gool",Face detection without bells and whistles,"In European Conference on Computer Vision, pages 720–735. Springer, 2014",2014
38,buolamwini18a,"Chiara Melloni, Jeffrey S Berger, Tracy Y Wang, Funda Gunes, Amanda Stebbins, Karen S Pieper, Rowena J Dolor, Pamela S Douglas, Daniel B Mark, and L Kristin Newby",Representation of women in randomized clinical trials of cardiovascular disease prevention,"Circulation: Cardiovascular Quality and Outcomes, 3(2):135–142, 2010",2010
39,buolamwini18a,"Mei Ngan, Mei Ngan, and Patrick Grother",Face recognition vendor test (FRVT) performance of automated gender classification algorithms,"US Department of Commerce, National Institute of Standards and Technology, 2015",2015
40,buolamwini18a,Cathy O’Neil,Weapons of math destruction: How big data increases inequality and threatens democracy,"Broadway Books, 2017",2017
41,buolamwini18a,"Giuseppe Palestra, Giovanna Varni, Mohamed Chetouani, and Floriana Esposito",A multimodal and multilevel system for robotics treatment of autism in children,"In Proceedings of the International Workshop on Social Learning and Multimodal Interaction for Designing Artificial Agents, page 3. ACM, 2016",2016
42,buolamwini18a,"Omkar M Parkhi, Andrea Vedaldi, Andrew Zisserman, et al",Deep face recognition,"In BMVC, volume 1, page 6, 2015",2015
43,buolamwini18a,"P Jonathon Phillips, Fang Jiang, Abhijit Narvekar, Julianne Ayyad, and Alice J O’Toole",An other-race effect for face recognition algorithms,"ACM Transactions on Applied Perception (TAP), 8(2):14, 2011",2011
44,buolamwini18a,Alice B Popejoy and Stephanie M Fullerton,Genomics is failing on diversity,"Nature, 538 (7624):161, 2016",2016
45,buolamwini18a,"Rajeev Ranjan, Swami Sankaranarayanan, Carlos D Castillo, and Rama Chellappa",An all-inone convolutional neural network for face analysis,"In Automatic Face & Gesture Recognition (FG 2017), 2017 12th IEEE International Conference on, pages 17–24. IEEE, 2017",2017
46,buolamwini18a,"Daniel Reid, Sina Samangooei, Cunjian Chen, Mark Nixon, and Arun Ross",Soft biometrics for surveillance: an overview,"Machine learning: theory and applications. Elsevier, pages 327–352, 2013",2013
47,buolamwini18a,Lorna Roth,"Looking at shirley, the ultimate norm: Colour balance, image technologies, and cognitive equity","Canadian Journal of Communication, 34(1):111, 2009",2009
48,buolamwini18a,"Rasmus Rothe, Radu Timofte, and Luc Van Gool",Deep expectation of real and apparent age from a single image without facial landmarks,"International Journal of Computer Vision, pages 1–14, 2016",2016
49,buolamwini18a,"Ramprakash Srinivasan, Julie D Golomb, and Aleix M Martinez",A neural basis of facial action recognition in humans,"Journal of Neuroscience, 36(16):4434–4442, 2016",2016
50,buolamwini18a,"Yaniv Taigman, Ming Yang, Marc’Aurelio Ranzato, and Lior Wolf",Deepface: Closing the gap to human-level performance in face verification,"In Proceedings of the IEEE conference on computer vision and pattern recognition, pages 1701–1708, 2014",2014
51,buolamwini18a,Fitzpatrick TB,The validity and practicality of sun-reactive skin types i through vi,"Archives of Dermatology, 124(6):869–871, 1988. doi: 10.1001 / archderm.1988.01670060015008. URL +http : / / dx.doi.org / 10.1001 / archderm.1988.01670060015008",1988
52,buolamwini18a,"Bart Thomee, David A Shamma, Gerald Friedland, Benjamin Elizalde, Karl Ni, Douglas Poland, Damian Borth, and Li-Jia Li",The new data and new challenges in multimedia research,"arXiv preprint arXiv:1503.01817, 1(8), 2015",2015
53,buolamwini18a,"Yandong Wen, Kaipeng Zhang, Zhifeng Li, and Yu Qiao",A discriminative feature learning approach for deep face recognition,"In European Conference on Computer Vision, pages 499– 515. Springer, 2016",2016
54,buolamwini18a,Xiaolin Wu and Xi Zhang,Automated inference on criminality using face images,"arXiv preprint arXiv:1611.04135, 2016",2016
55,buolamwini18a,"Stefanos Zafeiriou, Cha Zhang, and Zhengyou Zhang","A survey on face detection in the wild: past, present and future","Computer Vision and Image Understanding, 138:1–24, 2015",2015
0,ekstrand18b,G Adomavicius and A Tuzhilin,Toward the next generation of recommender systems: a survey of the state-of-the-art and possible extensions,"IEEE TKDE, 17(6):734–749, 2005. ISSN 1041-4347. doi: 10.1109/TKDE.2005. 99. URL http://dx.doi.org/10.1109/TKDE. 2005.99",2005
1,ekstrand18b,Alejandro Bellogin,Performance prediction and evaluation in Recommender Systems: an Information Retrieval perspective,"PhD thesis, UAM, 2012",2012
